family,bf,seed,completed,last_step,last_val,table_rows,store_dim,table_params,log
latent BSQ24 addressing,300,5,0,500,7.318700,30182400,384,11590041600,bf300_latentbsq24_mixngram_nopart_fix_seed5_1500_20260610.txt
latent FSQ addressing,300,5,0,500,7.331100,30182400,384,11590041600,bf300_latentfsq_mixngram_nopart_fix_seed5_1500_20260610.txt
latent FSQ aux 0.1 to zero,300,5,0,500,7.247300,30182400,384,11590041600,bf300_latentfsq_aux010to0_s250_250_nopart_headmix_seed5_1500_20260611.txt
latent FSQ aux 0.1 to zero by 250,300,5,0,250,8.521000,30182400,384,11590041600,bf300_latentfsq_aux010to0_s0_250_nopart_headmix_seed5_1500_20260611.txt
latent aux 0.03,300,5,0,500,7.251500,30182400,384,11590041600,bf300_k2_headmix_latentaux_fsq_mixngram_s003_nopart_seed5_1500_20260610.txt
latent aux 0.1,300,5,0,500,7.245600,30182400,384,11590041600,bf300_k2_headmix_latentaux_fsq_mixngram_s01_nopart_seed5_1500_20260610.txt
latent aux 0.1 to zero,300,5,0,500,7.247300,30182400,384,11590041600,bf300_k2_headmix_latentaux_fsq_mixngram_s01to0_250_250_nopart_headmixfix_seed5_1500_20260610.txt
latent aux 0.1 to zero,300,5,0,250,8.519100,30182400,384,11590041600,bf300_k2_headmix_latentaux_fsq_mixngram_s01to0_250_250_nopart_seed5_1500_20260610.txt
latent aux 0.5,300,5,0,250,8.531100,30182400,384,11590041600,bf300_k2_headmix_latentaux_bsq24_mixngram_s05_nopart_seed5_1500_20260610.txt
latent aux 0.5,300,5,0,500,7.247100,30182400,384,11590041600,bf300_k2_headmix_latentaux_fsq_mixngram_s05_nopart_seed5_1500_20260610.txt
ngram read-scale 1.15/0.85,300,5,0,500,7.238200,30182422,384,11590050048,bf300_sota_k2_headmix_norowsigns_ngramread115_085_seed5_1500_20260610.txt
ngram read-scale 1.15/0.85,400,5,0,250,8.512200,40243242,384,15453404928,bf400_sota_k2_headmix_norowsigns_ngramread115_085_seed5_1500_20260610.txt
no head mix,300,5,1,1500,3.246200,30182422,384,11590050048,bf300_sota_k2_noheadmix_norowsigns_diag_seed5_1500_20260610.txt
no head mix,300,6,0,500,7.244200,30182422,384,11590050048,bf300_sota_k2_noheadmix_norowsigns_seed6_1500_20260610.txt
no head mix,300,7,0,500,7.243600,30182422,384,11590050048,bf300_sota_k2_noheadmix_norowsigns_seed7_1500_20260610.txt
no-partition control,300,5,1,1500,3.244800,30182422,384,11590050048,bf300_k2_headmix_nopart_control_seed5_1500_20260610.txt
no-partition control,400,5,1,1500,3.244700,40243242,384,15453404928,bf400_k2_headmix_nopart_control_seed5_1500_20260610.txt
no-row-sign control,300,5,1,1500,3.244000,30182422,384,11590050048,bf300_sota_k2_headmix_norowsigns_control_seed5_ckpthist_1500_20260610.txt
no-row-sign control,300,5,1,1500,3.244100,30182422,384,11590050048,bf300_sota_readoutdelta_superposek2_base_aux05_headmixinit05_norowsigns_control_seed5_1500_20260610.txt
no-row-sign control,300,6,1,1500,3.245200,30182422,384,11590050048,bf300_sota_k2_headmix_norowsigns_control_seed6_1500_20260610.txt
no-row-sign control,300,7,1,1500,3.245100,30182422,384,11590050048,bf300_sota_k2_headmix_norowsigns_control_seed7_1500_20260610.txt
no-row-sign control,400,5,1,1500,3.244700,40243242,384,15453404928,bf400_sota_k2_headmix_norowsigns_control_seed5_ckpthist_1500_20260610.txt
no-row-sign control,400,5,1,1500,3.245900,40243242,384,15453404928,bf400_sota_layerreadouts_superposek2_base_aux05_norowsigns_seed5_1500_20260610.txt
no-row-sign control,400,5,1,1500,3.244700,40243242,384,15453404928,bf400_sota_readoutdelta_superposek2_base_aux05_headmixinit05_norowsigns_control_seed5_1500_20260610.txt
no-row-sign control,400,6,1,1500,3.245500,40243242,384,15453404928,bf400_sota_k2_headmix_norowsigns_control_seed6_1500_20260610.txt
no-row-sign control,400,7,1,1500,3.245400,40243242,384,15453404928,bf400_sota_k2_headmix_norowsigns_control_seed7_1500_20260610.txt
no-row-sign control + base hit-hist,300,5,0,500,7.234700,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hashseed0_basehist_seed5_1500_20260611.txt
no-row-sign control seed sweep,300,8,1,1500,3.244400,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hashseed0_seed8_1500_20260611.txt
no-row-sign control seed sweep,300,9,1,1500,3.244800,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hashseed0_seed9_1500_20260611.txt
no-row-sign control seed sweep,300,10,1,1500,3.247800,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hashseed0_seed10_1500_20260611.txt
no-row-sign control seed sweep,300,11,1,1500,3.246100,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hashseed0_seed11_1500_20260611.txt
output dropout 0.05 to 0,300,5,0,250,8.523600,30182422,384,11590050048,bf300_sota_k2_headmix_norowsigns_outdrop005to0_s500_500_seed5_1500_20260611_fixed.txt
output dropout 0.05 to 0,300,5,0,250,8.517400,30182422,384,11590050048,bf300_sota_k2_headmix_norowsigns_outdrop005to0_s500_500_seed5_1500_20260611b.txt
output dropout 0.10 to 0,300,5,0,0,18.939700,30182422,384,11590050048,bf300_sota_k2_headmix_norowsigns_outdrop010to0_s500_500_seed5_1500_20260611.txt
output dropout 0.10 to 0,300,5,0,250,8.531300,30182422,384,11590050048,bf300_sota_k2_headmix_norowsigns_outdrop010to0_s500_500_seed5_1500_20260611_fixed.txt
per-layer head mix,300,5,0,500,7.252200,30182422,384,11590050048,bf300_sota_k2_layerheadmix_norowsigns_seed5_1500_20260610.txt
per-layer head-mix delta,300,5,0,500,7.246400,30182422,384,11590050048,bf300_sota_k2_headmix_layerheaddelta_norowsigns_seed5_1500_20260610.txt
row-wise Adagrad,300,5,0,250,8.523600,30182422,384,11590050048,bf300_sota_k2_headmix_rowadagrad_seed5_1500_20260610.txt
scheduled inverse FAL,300,5,0,1000,3.505300,30182422,384,11590050048,bf300_sota_k2_headmix_ifal_sched1to0_500_250_seed5_1500_20260610.txt
