row,hit_count,log10_hit,row_rms,pca_raw_1,pca_raw_2,pca_dir_1,pca_dir_2
1292373,223,2.3502480183341627,0.74454457,1.7210411,0.2501496,-1.7740817,0.572423
1292436,63,1.806179973983887,0.4776058,-1.641665,0.48508257,1.5113423,-2.7003846
1292652,584,2.7671558660821804,1.283706,3.209232,-1.906444,-2.8925073,0.5942952
1292961,186488,5.270653220165134,1.8676101,-10.044122,-2.6610951,4.130318,1.6602987
1293202,536,2.7299742856995555,1.0470998,4.7642465,-1.3246379,-0.9294117,0.44183555
1293279,184,2.2671717284030137,0.7539077,-0.2065642,1.2054551,0.7723829,-1.1821243
1293316,24297,4.3855705277254655,1.9006333,-3.8292792,-0.22912596,2.2505462,-0.9259038
1293363,86,1.9395192526186185,0.6532068,1.3612157,0.43581048,-4.8456693,-0.43806514
1293700,37,1.5797835966168101,0.36886233,-0.43972552,-0.993371,1.0365846,-0.2015854
1293783,7,0.9030899869919435,0.26360372,0.061971944,-0.5123287,0.18273136,1.3161867
1293997,510,2.708420900134713,1.0097849,-0.30722916,-3.259881,-0.3000144,0.67074966
1294307,10,1.0413926851582251,0.27550232,-0.50466883,-0.3897504,3.6633153,-0.22842588
1294681,38,1.591064607026499,0.41700068,-0.13366172,-0.05061565,-0.30167767,-0.61251986
1295057,35,1.5563025007672873,0.3691894,-0.3074169,0.25595966,-1.1028619,-3.0720487
1295271,15719,4.196452541703389,1.8717557,-10.765602,4.258372,7.399156,-1.8291184
1295352,62,1.7993405494535817,0.40026173,1.2154093,-1.3472503,-4.0447893,-0.24092413
1295378,94,1.9777236052888478,0.5559487,1.3347846,0.30112174,-3.398477,-1.2122805
1295823,9,1.0,0.19146457,0.397373,-1.1524783,-0.9798984,2.6265216
1296159,41,1.6232492903979006,0.42554858,-0.16374798,-0.8698475,1.9839308,0.66357803
1296640,30,1.4913616938342726,0.3274858,0.72991747,0.1451754,-1.2970389,0.54268175
1296653,20,1.3222192947339193,0.36313635,0.87392724,-0.6239135,0.15511382,1.209588
1296989,20350,4.308585754289083,1.85647,5.3329787,0.48006904,-1.7164972,0.33821335
1297154,32798,4.515860602824412,1.7972358,-10.591882,4.4536905,3.0033658,-2.9786515
1297272,18,1.2787536009528289,0.26160896,0.53643036,0.107440285,0.27637905,2.423932
1297341,6975,3.843606471924511,1.9366508,2.9328237,-2.0622358,-1.4971995,2.316307
1297460,26431,4.422130025640288,1.9365478,-1.3070458,-3.9011827,0.72443473,1.7779351
1297480,71,1.8573324964312685,0.3967008,1.4959972,-1.100585,-2.8738024,4.879934
1297986,35,1.5563025007672873,0.3651937,0.021853097,-0.555498,-0.41462716,-0.031534746
1297998,20,1.3222192947339193,0.24007761,-0.036853455,-0.061944306,0.6057909,-3.8778634
1298184,24211,4.384030665240514,1.7683117,0.27226952,-3.5297954,0.1721332,2.1479282
1298789,26,1.4313637641589874,0.28397602,0.8287063,0.24810965,-1.0260389,-1.4983178
1298915,27079,4.432648660013107,1.9230578,-13.35439,2.4540358,6.4065886,-3.4606395
1299194,21,1.3424226808222062,0.2905086,-0.14062387,0.39137545,1.6200424,-2.4450495
1299200,11,1.0791812460476249,0.1916672,0.6223815,0.17471285,-3.0492063,-3.5879772
1299827,17,1.255272505103306,0.2291893,0.52221066,-0.33388054,-0.0993661,0.3699145
1300212,8,0.9542425094393249,0.2486165,0.9253091,-0.4179423,-1.3169441,-2.1720977
1300279,30335,4.481958315657972,1.7895424,-9.828556,3.091695,3.4912362,-0.33883858
1300380,0,0.0,0.010483135,0.27026424,-0.44452152,0.22911288,0.45952928
1300447,13884,4.142545884086276,1.8361819,1.6946118,8.246633,0.7995379,-1.1411973
1300484,51,1.7160033436347992,0.38558757,0.44650105,0.930761,-2.7813506,-4.4541636
1300551,12552,4.098747528824818,1.9564587,-10.052067,6.8466005,2.4759758,-5.3730874
1300568,10509,4.021602716028243,1.847964,-1.8444304,1.6542772,-2.200093,-1.0078362
1300775,20365,4.308905739431567,1.8514603,-13.192318,10.0833,3.0542274,-5.413396
1300984,6,0.8450980400142568,0.20632035,0.27197173,-0.5948656,0.37942436,0.15473269
1301146,4286,3.6321534835106326,1.7460189,-6.7973385,7.678899,4.1482353,-7.226916
1301247,58,1.7708520116421442,0.4433673,-0.502314,-1.0246814,2.437182,3.4332092
1301428,24,1.3979400086720377,0.24277835,-0.25465876,1.0094341,0.8155313,-3.966326
1301863,35,1.5563025007672873,0.35023925,0.42186558,-0.38851035,3.5144005,1.6723099
1301960,19113,4.281351581672737,1.880995,3.0684698,6.19937,-0.9599584,0.6987929
1302114,57,1.7634279935629373,0.49902982,-0.24087308,-1.527309,0.96436185,2.7480688
1302207,70,1.8512583487190752,0.47699162,-0.6448206,-2.0957031,-1.635815,2.1442685
