row,hit_count,log10_hit,row_rms,pca_raw_1,pca_raw_2,pca_dir_1,pca_dir_2,umap_1,umap_2
325760,43,1.6434526764861874,0.37213215,1.1281517,0.41357407,-1.1951622,0.42565462,2.2967381,10.786559
3927522,3032,3.4818724103106633,1.6838067,0.13656053,1.1938589,1.1638014,-1.3765868,1.2461014,9.053056
4476220,23261,4.366647051390854,1.868279,1.2041752,-2.8300922,-0.68513733,0.74028665,6.265164,9.384307
7300341,102,2.012837224705172,0.4965467,0.43272728,0.15450448,2.0305448,-1.2939388,5.064777,8.529174
7879405,96,1.9867717342662448,0.58050984,0.9804686,-0.9215733,-4.3006988,1.8389167,5.5411143,6.588202
6201002,248,2.3961993470957363,0.8349675,-0.46112877,0.17284462,-1.1491965,-0.43315417,5.4946284,7.6696463
3546861,39,1.6020599913279623,0.37665406,0.27805302,-1.3984919,-2.1900454,1.3485605,2.827226,9.774707
4059454,875,2.9425041061680806,1.2554635,0.5444159,-0.13998894,0.49881303,0.7114729,3.2110581,13.098742
1376040,9,1.0,0.2180352,0.554503,-0.57438004,-0.11808879,1.5949702,0.7592886,11.645924
1147062,30008,4.477251523524889,1.8659356,-1.7368653,3.923063,-2.0411441,-0.14811237,1.6271375,13.327385
7682600,84,1.9294189257142926,0.50522983,0.92129475,-1.171409,-2.955387,1.8006319,6.0482264,7.3035755
2233513,38098,4.580913576720727,1.8703449,2.2458549,4.5997767,-1.40938,-1.1902668,1.1787107,8.682391
5261255,17827,4.251102625414139,1.8083003,4.023315,2.4888594,-1.5787903,-1.7109791,3.159482,8.710108
513599,497,2.6972293427597176,1.0737113,0.83029675,1.7523438,-1.0580454,-1.8310368,1.8959129,12.137067
2492660,41215,4.615065841343699,2.056195,-10.372777,0.9603488,2.6396332,-0.5821837,2.1112106,13.102247
6902131,21862,4.3397097547798325,1.659055,0.2907776,-2.4850247,-2.2259934,1.9904555,6.101266,6.8444552
5299868,134,2.130333768495006,0.582254,-0.777588,0.39829138,1.4276804,-0.98087025,1.9041111,13.333344
7058220,70,1.8512583487190752,0.47820362,0.05365643,-0.16994266,2.4853685,-0.24593055,5.2307053,9.053929
7798132,138,2.143014800254095,0.59065497,-0.044367675,-1.3664148,0.038993627,1.8092313,5.754641,8.370821
426104,47239,4.674309888941477,1.8887459,-1.944645,-2.58222,0.20060822,0.81858057,2.7383347,9.360263
5044817,599,2.7781512503836434,1.2695616,-1.3277262,0.88406974,0.005228682,-1.0657814,6.0299444,8.297347
2319416,106,2.0293837776852097,0.5826201,0.3982816,-2.33271,-1.4597203,-0.56671804,2.469357,9.338659
2410276,75,1.8808135922807914,0.40282768,-0.2158263,-0.098290786,1.3428944,-1.6638783,2.4268126,11.843391
7326916,161,2.2095150145426308,0.7182334,1.1760925,-0.63639593,0.8341011,0.8422472,4.9510617,8.736592
5488322,194,2.290034611362518,0.81536067,-0.34480888,-0.45546496,2.530048,-0.26466563,5.9798265,8.987667
3955564,19890,4.298656617391146,1.9593375,1.910626,-0.62573266,-0.43549415,1.4803263,1.8145765,8.204652
1081684,14,1.1760912590556813,0.25928414,0.793916,-0.47471994,-1.5840712,3.1291778,1.6516832,8.265818
4579456,125,2.100370545117563,0.552109,0.96328664,-1.251143,-2.30495,0.108018674,6.5835376,7.8128777
6423660,290,2.4638929889859074,0.8414758,0.08483198,-0.38465986,-0.33533677,0.81359977,5.8327913,7.467477
5513270,106,2.0293837776852097,0.54515046,0.2264295,0.5673825,-0.48609096,-4.053664,6.879576,8.732572
2434705,68,1.8388490907372552,0.4196548,-0.57545877,0.058173653,1.6536542,-1.5538313,1.6724538,13.09278
2262747,417,2.621176281775035,1.0700008,1.4263486,-2.4418914,-1.4886502,2.8518221,2.3454087,12.585205
