head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
5,2,5,1069304,25969905,32,0.95690262,9391.00683594, you�
2,2,2,1069640,11029840,32,0.95236975,9388.58984375, you�
4,2,4,1715413,21635853,111,0.90084696,9384.09179688,\nI
0,2,0,3354984,3354984,64,0.90824693,9382.04296875, and I
3,2,3,2019783,16960096,58,0.92210734,9381.64160156,. He
9,3,3,1375129,46196456,43,0.92595363,9377.18261719,’re
10,3,4,1599209,51400729,70,0.90933591,9371.73046875,”\n
9,3,3,667851,45489178,66,0.92591727,9368.86523438,.S.
4,2,4,4867195,24787635,164,0.83152044,9363.73828125,\n|
3,2,3,3284296,18224609,206,0.85119629,9332.49121094,.<|endoftext|>
9,3,3,503770,45325097,88,0.86065060,9315.52148438,\n“
5,2,5,766092,25666693,129,0.91819674,9311.95312500,S.
9,3,3,3601756,48423083,71,0.88442892,9277.59179688,. “
2,2,2,3295328,13255528,206,0.83332682,9274.74316406,.<|endoftext|>
4,2,4,1069352,20989792,32,0.96117008,9261.02832031, you�
0,2,0,4301179,4301179,153,0.84201390,9249.69726562,\n"
1,2,1,262777,5242874,88,0.78860039,9247.25097656, it�
11,3,5,1015823,55797554,101,0.91573429,9243.61523438, ”
3,2,3,428684,15368997,72,0.88182902,9235.40625000,. They
1,2,1,4301161,9281258,153,0.87683696,9203.49218750,\n"
2,2,2,2490309,12450509,157,0.89720798,9186.15820312,|\n
1,2,1,74047,5054144,43,0.92942244,9174.82519531,�re
3,2,3,2226257,17166570,86,0.92862678,9172.80371094,  with
4,2,4,3068705,22989145,43,0.83591276,9156.26855469,�re
0,2,0,3068961,3068961,43,0.85768819,9148.33691406,�re
2,2,2,2985269,12945469,58,0.84307152,9114.48632812,There are
5,2,5,428642,25329243,72,0.88252813,9088.08593750,. They
5,2,5,2226257,27126858,86,0.89991599,9085.06835938,  with
1,2,1,1768947,6749044,74,0.96459538,9081.52441406, it.
3,2,3,642181,15582494,77,0.89574748,9076.90039062,. But
4,2,4,3998002,23918442,156,0.91206604,9051.60839844, that the
11,3,5,3601476,58383207,72,0.92674267,9042.75976562,. “
1,2,1,2226257,7206354,86,0.90382659,9026.25292969,  with
1,2,1,3998176,8978273,156,0.91957796,9015.11230469, that the
4,2,4,73699,19994139,43,0.92086852,9011.31640625,�re
7,3,1,3601816,38462765,72,0.84966648,9007.21386719, circuit board which
8,3,2,1599289,41440425,70,0.88796079,9004.55566406,”\n
5,2,5,2019573,26920174,58,0.91424924,8979.38085938,. He
1,2,1,2939985,7920082,127,0.79608923,8979.16210938,.�
9,3,3,2938161,47759488,71,0.91620988,8957.21972656,.\n�
2,2,2,3251328,13211528,120,0.74600029,8928.00488281, and a
1,2,1,3845596,8825693,58,0.89107907,8909.10937500,  he
0,2,0,3251408,3251408,120,0.84586722,8898.11914062, and a
4,2,4,2114550,22034990,59,0.96904981,8895.63769531, well as
11,3,5,4647889,59429620,47,0.88338763,8885.51757812, DON’
4,2,4,873880,20794320,80,0.86068785,8883.78613281, as well
0,2,0,2019933,2019933,58,0.91335660,8881.38574219,. He
3,2,3,73903,15014216,43,0.91841775,8877.13378906,�re
0,2,0,2226257,2226257,86,0.90240169,8870.03222656,  with
7,3,1,4697151,39558100,43,0.91369832,8869.47363281,’re
10,3,4,503698,50305218,88,0.84583515,8866.84472656,\n“
9,3,3,40944,44862271,31,0.90728033,8860.59667969, you’
8,3,2,4914138,44755274,88,0.75705600,8855.16796875, it’
10,3,4,4697055,54498575,43,0.90920526,8853.27441406,’re
3,2,3,2892776,17833089,88,0.89804000,8839.05957031,\n�
0,2,0,1069736,1069736,32,0.93973947,8818.59082031, you�
3,2,3,319623,15259936,105,0.85088503,8817.47460938,\nIn
3,2,3,1768923,16709236,74,0.95662719,8805.13769531, it.
2,2,2,3502709,13462909,77,0.86114579,8787.64941406,\nThis
2,2,2,406307,10366507,77,0.91866082,8774.59472656,. But
4,2,4,480349,20400789,153,0.92216772,8769.47460938,\n"
4,2,4,3556456,23476896,88,0.60042620,8747.30371094,\n�
0,2,0,74083,74083,43,0.88182110,8740.97656250,�re
5,2,5,2882269,27782870,34,0.85101730,8737.01074219,�ve
5,2,5,873832,25774433,80,0.81086272,8729.08300781, as well
2,2,2,3283209,13243409,41,0.90778333,8727.83105469,\nWe
3,2,3,2882437,17822750,33,0.86551064,8724.74316406,�ve
6,3,0,503826,30384596,88,0.85258389,8716.70703125,\n“
3,2,3,928216,15868529,73,0.93041646,8710.43652344,  who
11,3,5,2937909,57719640,71,0.91639453,8702.42089844,.\n�
2,2,2,3940542,13900742,101,0.88592082,8699.45703125,\nA
10,3,4,134667,49936187,35,0.91692233,8696.48046875, we’
3,2,3,1894217,16834530,107,0.94508278,8688.15917969,."\n
7,3,1,503794,35364743,88,0.83068806,8659.70507812,\n“
8,3,2,4126127,43967263,65,0.83139914,8643.67187500,I’
1,2,1,3502739,8482836,77,0.83851141,8639.76074219,\nThis
1,2,1,1660105,6640202,46,0.92754781,8638.97363281, which is
0,2,0,319803,319803,105,0.84455848,8634.08203125,\nIn
8,3,2,2495361,42336497,170,0.50825018,8631.50488281,’T
6,3,0,3601896,33482666,71,0.92805237,8612.17578125,. “
4,2,4,4723395,24643835,98,0.89739382,8597.34765625,. If
1,2,1,815398,5795495,74,0.80114627,8566.48046875,  so
1,2,1,3358579,8338676,130,0.92443657,8562.39453125, said.
2,2,2,4303670,14263870,34,0.87626970,8539.95898438,�m
5,2,5,2114422,27015023,59,0.91498828,8537.78710938, well as
0,2,0,2742769,2742769,77,0.90592647,8536.62304688,\nThis
1,2,1,4723743,9703840,98,0.88664758,8532.81738281,. If
8,3,2,503778,40344914,89,0.81871939,8531.18066406,\n“
6,3,0,1599337,31480107,70,0.85690004,8528.42089844,”\n
11,3,5,503658,55285389,88,0.82289243,8528.19628906,\n“
5,2,5,1306772,26207373,115,0.95448816,8525.12402344, as the
11,3,5,4367259,59148990,34,0.87469381,8509.16894531,ade County Public
4,2,4,3845596,23766036,58,0.89032102,8502.59472656,  he
3,2,3,3502667,18442980,77,0.80855519,8491.47558594,\nThis
5,2,5,319371,25219972,114,0.82647711,8491.41503906,\nIn
9,3,3,1599281,46420608,71,0.90859246,8490.64746094,”\n
9,3,3,4001699,48823026,59,0.92468542,8488.52441406, as well as
10,3,4,4647949,54449469,47,0.88593000,8485.57812500, DON’
0,2,0,928246,928246,73,0.91702217,8478.50390625,  who
9,3,3,4697127,49518454,43,0.89593124,8451.50000000,’re
4,2,4,2553049,22473489,76,0.95263910,8450.67480469,. For
